Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max           Deleted,,,,,,,,,,,,,,Active,,,,,,,,,,,,,
"ss   SS666025                 MOD PODGE GLOSS 4
666025    PCCSI1205           028995112058",,,,,,,,,,$1.95,,,"MA
$4.l l",,,,,,EA,,Yes,,,,ss,,,,PAPERMAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS666033                  MOD PODGE MATTE 4
666033    PCCS11305           028995113055",,,,,,,,,,$1.95,,,"MA
$4.11",,,,,,EA,,Yes,,,,ss,,,,PAPER MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS666467                  RUBNBUFF GOLD LEA
666467    AO76361A            0396727636 l6",,,,,,,,,,$3.63,,,"MA
$7.25",,,,,,EA,,Yes,,,,ss,,,,ADHESIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS666890                 RUBNBUFF ANTIQUE
666890    AO76362B            039672763623",,,,,,,,,,$3.75,,,"MA
$6.95",,,,,,EA,,Yes,,,,ss,,,,ADHESIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS66702l                  BASICS 402  YELLOW
667021    LQ1046416            094376922509",,,,,,,,,,$3.20,,,"MA
$7.99",,,,,,EA,,Yes,,,,ss,,,,PAINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS667048                 BASICS 402  PHTHALO
667048    LQ10463l7            094376922455",,,,,,,,,,$3.20,,,"MA
$7.99",,,,,,EA,,Yes,,,,ss,,,,PAINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS667056                 BASICS 402  RAW SIE 667056    LQ1046330            094376922462,,,,,,,,,,$3.60,,,"MA
$7.99",,,,,,EA,,Yes,,,,ss,,,,PAINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6,,,"No
5",,,,,,,Yes,,,0,,,0,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2,,,reg5.8,,,,,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2,,,28/02,,,,,,,0,,,0,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,3,,,reg6 .3,,,,,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,l,,,reg 8.8,,,,,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,No,,,Yes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,8,,,,,,,,,,0,,,0,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,No,,,Yes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,6,,,,,,,,,,0,,,0,,,,,,,
2        No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
0           l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02,,,,,,,0,,,0,,,,,,,
2        No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
0           l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02,,,,,,,0,,,0,,,,,,,
"2           5         No
0           3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,update,,,,Yes,,,0,,,0,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,No,,,Yes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,3,,,update,,,,,,,0,,,0,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,update,,,,,,,0,,,0,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,I,,,update,,,,,,,0,,,0,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,"No
1",,,update,,,,Yes,,,0,,,0,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,update,,,,,,,0,,,0,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,4,,,update,,,,,,,0,,,0,,,,,,,
ss   SS667064                  BASICS 402  CAD YEL                                  MA                                                    PAINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"667064    LQ104616l
ss   SS667072 667072    LQ1046720
ss   SS667080 667080    LQ1046470
ss   SS667129 667129    LQ1046510",,,,"094376922363                   $3.20                   $7.99      EA        Yes         ss
BASICS 402  CAD ORA                                  MA                                                    PAINT 094376922561                   $3.60                   $7.99      EA        Yes         ss
BASICS 402  CERULEA                                 MA                                                      PAINT 094376922523                   $3.20                  $7.99      EA        Yes         ss
BASICS 402  CAD RED                                  MA                                                      PAINT 094376922530                   $3.20                   $7.99      EA        Yes         ss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 44 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vendor   Item ID                      Description                                     Dept         Ma_llf_' cturer                                     Location               Mia       Max           Deleted              Active
Product ID  Alternate ID         Barrode                         Cost                       Price          Unit     Tu    Supplier I       Supplier 2                   QCom QOH     Note        Multiplier           Find
ate ate ate ate ate ate
$7. ate ate
ate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS667145                 BASICS 40Z GREEN LI
667145    LQ1046312            094376922431",,,,,,,,,,$3.20,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,l,,0,,,"3        No
0     upd",,,,,,,,,,,,,,,,,,,,,,,
ss   SS667161                  BASICS 40Z BURNT SI 667161    LQ1046127            094376922325,,,,,,,,,,$3.20,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,2,,0,,,"4        No
0     upd",,,,,,,,,,,,,,,,,,,,,,,
ss   SS6672I8                 BASICS 40Z DIOXAZI 667218    LQ1046186            094376922387,,,,,,,,,,$3.60,,,$7.99,,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,,,0,,,"3        No
3     upd",,,,,,,,,,,,,,,,,,,,,,,
ss   SS667226                 BASICS 40Z CAD YEL 667226    LQI046I60            094376922356,,,,,,,,,,$3.60,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,2,,0,,,"5        No
2     upd",,,,,,,,,,,,,,,,,,,,,,,
ss   SS667242                 BASICS 40Z COBALT 667242    LQ1046I70            094376922370,,,,,,,,,,$3.20,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,3,,0,,,"6        No
0     upd",,,,,,,,,,,,,,,,,,,,,,,
ss   SS667269                 BASICS 40Z BURNT U 667269    LQI046128            094376922332,,,,,,,,,,$3.60,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,2,,0,,,"4        No
2     upd",,,,,,,,,,,,,,,,,,,,,,,
ss   SS667285                 BASICS 40Z QUIN MA 667285    LQ1046114            094376922295,,,,,,,,,,$3.60,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,,,0,,,"3        No
2     reg",,,,,,,,,,,,,,,,,,,,,,,
ss   SS667293                 BASICS 40Z BRIGHT A 667293    LQ1046660            094376922554,,,,,,,,,,$3.20,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,2,,0,,,"4        No
5    upd",,,,,,,,,,,,,,,,,,,,,,,
ss   SS667307                 BASICS 40Z CAD RED 667307    LQI046151            094376922349,,,,,,,,,,$3.60,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,3,,0,,,"5        No
0     upd",,,,,,,,,,,,,,,,,,,,,,,
ss   SS667358                 BASICS 40Z  RED OXID 667358    LQ1046335            094376922479,,,,,,,,,,$3.20,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,,,0,,,"2        No
2     upd",,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
ss   SS667366                 BASICS 40Z TITANIU 667366    LQ1046432            094376922516,,,,,,,,,,$3.60,,,$7.99,,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,s,,0,,,IS,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS667374                  BASICS 40Z NEUTRAL
667374    LQ1046599            094376922547",,,,,,,,,,$3.20,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,2,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,
ss   SS667382                  BASICS 4OZ CAD RED 667382    LQ10463ll            094376922424,,,,,,,,,,$3.20,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,4,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,
ss   SS667390                  BASICS 40Z  ULTRAM,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,,PAINT,,,,,,,4,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
"No
-1    update",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No
1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,update,,,,Yes,,,0,,,0,,,,,,,
"No
l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,update,,,,Yes,,,0,,,0,,,,,,,
"No
3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,update,,,,Yes,,,0,,,0,,,,,,,
"No
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DISCO,,,,Yes,,,0,,,0,,,,,,,
"No
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,update,,,,Yes,,,0,,,0,,,,,,,
"No
5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,,,0,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
667390    LQ1046380            094376922493                   $3.20                   $7.99      EA         Yes          ss                                           0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS667528                 SCULPY MODELING T 667528    SYSTISSl              715891615515,,,,,,,,,,$3.50,,,"MA
$7.15",,,,,,,EA,,,Yes,,,ss,,,CLAY,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS667544                 BASICS 4OZ PHTHALO
667544    LQ1046316            094376922448",,,,,,,,,,$3.20,,,"MA
$7.99",,,,,,,EA,,,Yes,,,ss,,,PAINT,,,,,,,2,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS667846                 CARDED ART GUM ER
667846    GPl36EBP             044974136006",,,,,,,,,,$0.65,,,"MA
$1.29",,,,,,,EA,,,Yes,,,ss,,,ART AISLE,,,,,,,4,,0,,,IO,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS668818                 FOAMBOARD BLACK
668818    BF901120              079946140002",,,,,,,,,,$2.68,,,"MA
$6.20",,,,,,,EA,,,Yes,,,ss,,,26,,,,,,,5,,0,,,15,,,,,,,,,,,,,,,,,,,,,,,
ss   SS669261                 SM CANVAS PAPER  9 669261    SM3109                 012017398094,,,,,,,,,,$3.32,,,"MA
$9.75",,,,,,,EA,,,Yes,,,ss,,,PAPER PAD,,,,,,,2,,0,,,14,,,,,,,,,,,,,,,,,,,,,,,
"IO    Order                             0      0
No       Yes
2                                      0     0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 45 of 186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,,Description,,,,,,,,Dept          Maaufacturer                                       Location               Min      Max           Deleted              Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,,Barcode,,,,Cost,,,,Price         Unit     Tax           Supplier 1      Supplier2                  QCom   QOB     Note       Multiplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,,,,,,
ss   SS669342                  SM CANVAS PAPER 16,,,,,,,,,,,,,I,,,MA,,,,,,,,,,,,,,PAPER PAD,,,,,2,,,,14        No                   Yes,,,,,,,,,,,,,,,,,,,,,,,,,
669342    SM31016               012017398162,,,,,,,,,,,$9.90,,,,,$27.49,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,12    063/16                        0,,,,,,,,,,,,,,,,0,,,,,,,
ss   SS669571                  SM CANVAS PAPER 12,,,,,,,,,,,,,I,,,MA,,,,,,,,,,,,,,PAPER PAD,,,,,2,,,,14,,,,,No,,,,,,,Yes,,,,,,,,,,
669571    SM31012               012017398124,,,,,,,,,,,$6.66,,,,,$16.65,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4    4/12,,,,,,,,,,0,,,0,,,,
ss   SS674826                  KIMBERLY W/C PENCI,,,,,,,,,,,,,I,,,MA,,,,,,,,,,,,,,ART AISLE,,,,,2,,,,,,5,,,No,,,,,,,Yes,,,,,,,,,,
674826   GP70012A              044974070126,,,,,,,,,,,$6.50,,,,,$12.99,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,5,,,,,,,,,,0,,,0,,,,
ss   SS674842                  ELEG WRITER  BLACK,,,,,,,,,,,,,I,,,MA,,,,,,,,,,,,,,ART AISLE,,,,,2,,,,,,6,,,No,,,,,,,Yes,,,,,,,,,,
674842    SP2842                   651032028427,,,,,,,,,,,$1.13,,,,,$2.26,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,
ss   SS674869                  ELEG WRITER  BLACK,,,,,,,,,,,,,I,,,MA,,,,,,,,,,,,,,ART AISLE,,,,,2,,,,,,6,,,No,,,,,,,Yes,,,,,,,,,,
674869    SP2841                   651032028410,,,,,,,,,,,$1.13,,,,,$2.26,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,
ss   SS674885                  MASTERS BRSH CLNE,,,,,,,,,,,,,I,,,MA,,,,,,,,,,,,,,PAINT AISL,,,,,0,,,,,,0,,,No,,,,,,,Yes,,,,,,,,,,
674885    GPIOSBP               044974105002,,,,,,,,,,,$4.15,,,,,$8.29,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,
ss   SS674915                  ELEG WRITER  BLACK,,,,,,,,,,,,,1,,,MA,,,,,,,,,,,,,,ART AISLE,,,,,4,,,,,,6,,,No,,,,,,,Yes,,,,,,,,,,
674915    SP2514                   651032025143,,,,,,,,,,,$1.13,,,,,$2.26,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,
ss   SS675008                  ELEG WRITER  BLACK,,,,,,,,,,,,,1,,,MA,,,,,,,,,,,,,,ART AISLE,,,,,2,,,,,,6,,,No,,,,,,,Yes,,,,,,,,,,
675008    SP2843                   651032028434,,,,,,,,,,,$1.13,,,,,$2.26,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,3,,,,,,,,,,0,,,0,,,,
ss   SS675024                  GEN MULTICHROME 1,,,,,,,,,,,,,l,,,MA,,,,,,,,,,,,,,ART AISLE,,,,,0,,,,,,0,,,No,,,,,,,Yes,,,,,,,,,,
675024    GP40012A             044974040129,,,,,,,,,,,$6.00,,,,,$17.99,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0    6/4/20,,,,,,,,,,0,,,0,,,,
ss   SS685690                  LIQ ACRY 2 OZ CADY,,,,,,,,,,,,,l,,,MA,,,,,,,,,,,,,,PAINT,,,,,0,,,,,,0,,,No,,,,,,,Yes,,,,,,,,,,
685690    LQ1045163            094376921519,,,,,,,,,,,$5.31,,,,,$9.43,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0    disc,,,,,,,,,,0,,,0,,,,
ss   SS685704                  LQ TEX GEL WHT OPQ,,,,,,,,,,,,,I,,,MA,,,,,,,,,,,,,,PAINT AISL,,,,,0,,,,,,0,,,No,,,,,,,Yes,,,,,,,,,,
685704    LQ7308                  094376924510,,,,,,,,,,,$5.62,,,,,$6.25,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,
ss   SS685992                  LQ BASICS GESSO 1/2,,,,,,,,,,,,,1,,,MA,,,,,,,,,,,,,,PAINT AISL,,,,,1,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,
685992    LQ104084              094376922950,,,,,,,,,,,$11.70,,,,,$25.99,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,
ss   SS686069                  LQ GLASS BEADS TEX,,,,,,,,,,,,,1,,,MA,,,,,,,,,,,,,,PAINT AISL,,,,,0,,,,,,1,,,No,,,,,,,Yes,,,,,,,,,,
686069   LQ6908                  094376924466,,,,,,,,,,,$5.89,,,,,$13.09,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,I,,,,,,,,,,0,,,0,,,,
ss   SS686328                  LQ LIGHT MODELING,,,,,,,,,,,,,I,,,MA,,,,,,,,,,,,,,PAINT AISL,,,,,1,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,
686328    LQ6808                  094376924442,,,,,,,,,,,$6.30,,,,,$13.99,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2,,,,,,,,,,0,,,0,,,,
ss   SS690066                  LINO SET 1- 5 BLD W/,,,,,,,,,,,,,I              MA,,,,,,,SPECIALTY,,,,,,,,,,,,,,,3,,,,5,,,,,No,,,,,,,Yes,,,,,,,,,,
690066    SP41231                 651032412318,,,,,,,,,,,$7.70,,,,,$15.39,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0    6/4/20,,,,,,,,,,0,,,0,,,,
ss   SS690295                  LINO CUTTER HANDL,,,,,,,,,,,,,1,,,MA,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,
690295    SP41238                 651032412387,,,,,,,,,,,$2.74,,,,,$5.48,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,3    08/07,,,,,,,,,,0,,,0,,,,
ss   SS691151                  GLASSINE SHT 24X36,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,10,,,,,,,,,60         No                   Yes,,,,,,,,,,,,,,,,,,,,,,
691151   CN100511215        030674069485,,,,,,,,,,,$0.77,,,,,$1.80,,,,SH,,,,Yes,,,ss,,,,,,,,,,,,0           23    6/19/2                         0,,,,,,,,,,,,,,,,,,0,,,,
ss   SS692018                  TURPENOID NATURA,,,,,,,,,,,,,1,,,MA,,,,,,,,,,,,,,PAINT AISL,,,,,l,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
692018    WAl814                 018918018147,,,,,,,,,,,$16.50,,,,,$32.99,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2    28/02,,,,,,,,,,0,,,0,,,,,,,
ss   SS692034                  TURPENOID NATURA,,,,,,,,,,,,,I,,,MA,,,,,,,,,,,,,,PAINT AISL,,,,,3,,,,,,5,,,No,,,,,,,Yes,,,,,,,,,,,,,
692034    WAl811                 018918018116,,,,,,,,,,,$4.50,,,,,$8.99,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,5,,,,,,,,,,0,,,0,,,,,,,
Page 46 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,Description,,,,,,,,,Dept          Ma_ufacturer                                      Location               Min       Max           Deleted              Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,Barcode,,,,,Cost,,,,Price          Unit     Tax           Supplier 1       Supplier2                   QCom    QOH  Note        Multiplier           Fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS692484                 TURPENOID NATURA
692484    WA1812                 018918018123",,,,,,,,,,,$6.50,,,,"MA
$12.99",,,,,EA,,,,Yes,,,ss,,,PAINT AISL,,,,,,,3,,0,,6,,,"No
6    reg 12.",,,,,,,Yes,,,0,,,0,,,,,,,
"ss   SS692492                  TURPENOID NATURA
692492    WA1813                018918018130",,,,,,,,,,,$10.00,,,,"MA
$19.99",,,,,EA,,,,Yes,,,ss,,,PAINT AISL,,,,,,,,,0,,3,,,"No
2    reg 18.",,,,,,,Yes,,,0,,,0,,,,,,,
"ss   SS692743                 LQ BASICS GESSO 16
692743    LQ104016              094376922943",,,,,,,,,,,$4.50,,,,"MA
$9.99",,,,,EA,,,,Yes,,,ss,,,PAINT AISL,,,,,,,,,"3         No                   Yes
0            2                                      0      0",,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS693863                 SCULPEY Ill 2oz
693863   SYS302301            715891113011",,,,,,,,,TAN,,$1.16,,,,"MA
$2.49",,,,,EA,,,,Yes,,,ss,,,CLAY,,,,,,,2,,0,,4,,,"No
3",,,,,,,Yes,,,0,,,0,,,,,,,
"ss   SS694231                  SCULPEY Ill 2oz
694231    SYS302322            715891113226",,,,,,,,,LEAF,,$1.16,,,,"MA
$2.49",,,,,EA,,,,Yes,,,ss,,,CLAY,,,,,,,2,,0,,3,,,"No
2",,,,,,,Yes,,,0,,,0,,,,,,,
"ss   SS694940                 GEN GRPHTE ART STI
694940    GP970ABP            044974970044",,,,,,,,,,,$1.85,,,,"MA
$3.69",,,,,EA,,,,Yes,,,ss,,,ART AISLE,,,,,,,4,,"IO   No                   Yes
0            7                                      0      0",,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS695165                  GEN COMP CHARC W                                   MA                                                      ART AISLE                 2            4        No                   Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695165    GP958BP               044974958042,,,,,,,,,,,$2.15,,,,$4.29,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2,,28/02,,,,,,,,0,,,0,,,,,,,
ss   SS695505                 GEN COMP CHARC BL,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,ART AISLE,,,,,,,4,,,,10,,,No,,,,,,,Yes,,,,,,,,,,,,,
695505    GP957ABP            044974957045,,,,,,,,,,,$2.06,,,,$4.11,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,5,,28/02,,,,,,,,0,,,0,,,,,,,
