"ss   SS005134                   PENTEL COLOR PEN l
005134    PLS36012               072512101346",,,,,,,,,,$4.81,,l,"MA
$11.88",EA,Yes,ss,,ART AISLE,,l,,0,2,"No
2     09  /19  /",,,Yes,0,,0,,,
"ss   SS005142                   PASTEL DYE STICKS 1
005142    PLPTS15                 072512009291",,,,,,,,,,$2.11,,1,"MA
$4.69",EA,Yes,ss,,SPECIALTY,,1,,0,3,"No
2",,,Yes,0,,0,,,
"ss   SS005185                   ABT DUAL BRSH 725
005185    TB56581                 085014565813",,,,,,,,,,$1.44,,1,"MA
$3.19",EA,Yes,ss,,ART AISLE,,1,,0,3,"No
I     reg$3.",,,Yes,0,,0,
"ss   SS005215                   ABT DUAL BRSH N35
005215    TB56626                 085014566261",,,,,,,,,,$1.44,,1,"MA
$3.19",EA,Yes,ss,,ART AISLE,,1,,0,3,"No
2     reg$3.",,,Yes,0,,0,
ss   SS005223                   LIQ ACRY 2 OZ PRISM 005223    LQ104539l             094376921960,,,,,,,,,,$5.76,,I,"MA
$12.79",EA,Yes,ss,,PAINT,,1,,0,2,"No
I",,,Yes,0,,0,
"ss   SS005238                   GEN SEMI-HEX CLASS
005238    GP497BP                044974044974",,,,,,,,,,$1.95,,1,$3.89,EA,Yes,ss,,ART AISLE,,2,,0,6,"No
3     7/8/20",,,Yes,0,,0,
ss   SS005312                   LIQ ACRY 2 OZ PERM 005312    LQI045312             094376921830,,,,,,,,,,$5.76,,1,"MA
$12.79",EA,Yes,ss,,PAINT,,1,,0,2,"No
I     reg$!",,,Yes,0,,0,
ss   SS005355                   LIQ ACRY 2 OZ lRID B 005355    LQ1045236             094376921694,,,,,,,,,,$5.00,,I,"MA
$12.49",EA,Yes,ss,,PAINT,,0,,0,1,"No
I     reg$!",,,Yes,0,,0,
ss   SS005428                   LIQ ACRY 2 OZ QUIN 005428    LQI045114             094376921373,,,,,,,,,,$6.30,,I,"MA
$13.99",EA,Yes,ss,,PAINT,,1,,0,2,"No
2     reg$!",,,Yes,0,,0,
ss   SS005444                   SMDRAWINGPAD4X,,,,,,,,,,,,1,MA,,,,,PAPERPAD,,2,,,26,No,,,Yes,,,,
005444    SM4001,,,,,012017440045,,,,,$1.48,,,$3.69,EA,Yes          ss                 0           15    reg3.3                         0      0,,,,,,,,,,,,,,,,
